Sector,Escenario,Hora,IdTubo,Caudal,Velocidad,PerUni,Estado
Sur,E0,00:00:00,76605,0.04,0.01,0.00,0.0
Sur,E0,00:00:00,76606,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76607,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76608,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76609,0.08,0.02,0.01,0.0
Sur,E0,00:00:00,7660A,0.15,0.03,0.02,0.0
Sur,E0,00:00:00,7660B,0.10,0.02,0.02,0.0
Sur,E0,00:00:00,7660C,-0.12,0.03,0.02,0.0
Sur,E0,00:00:00,7660E,0.16,0.04,0.03,0.0
Sur,E0,00:00:00,7660F,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76610,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76611,-0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76612,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76775,0.20,0.04,0.04,0.0
Sur,E0,00:00:00,76794,-0.12,0.03,0.02,0.0
Sur,E0,00:00:00,76845,-0.05,0.01,0.00,0.0
Sur,E0,00:00:00,76846,-0.12,0.03,0.02,0.0
Sur,E0,00:00:00,768CC,0.22,0.05,0.05,0.0
Sur,E0,00:00:00,768CD,0.22,0.05,0.05,0.0
Sur,E0,00:00:00,768CE,-0.07,0.02,0.01,0.0
Sur,E0,00:00:00,768CF,-0.05,0.01,0.00,0.0
Sur,E0,00:00:00,768D1,0.18,0.04,0.03,0.0
Sur,E0,00:00:00,768D2,0.05,0.01,0.00,0.0
Sur,E0,00:00:00,768D3,-0.10,0.02,0.01,0.0
Sur,E0,00:00:00,768D4,0.06,0.01,0.00,0.0
Sur,E0,00:00:00,768F1,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,768F2,0.28,0.06,0.08,0.0
Sur,E0,00:00:00,768F3,0.22,0.05,0.05,0.0
Sur,E0,00:00:00,768F4,-0.00,0.00,0.00,0.0
Sur,E0,00:00:00,768F5,0.07,0.02,0.01,0.0
Sur,E0,00:00:00,768F6,-0.04,0.01,0.00,0.0
Sur,E0,00:00:00,768F7,0.00,0.00,0.00,0.0
Sur,E0,00:00:00,768F8,0.24,0.05,0.06,0.0
Sur,E0,00:00:00,768F9,-0.09,0.02,0.01,0.0
Sur,E0,00:00:00,768FA,0.28,0.06,0.08,0.0
Sur,E0,00:00:00,768FB,0.11,0.03,0.01,0.0
Sur,E0,00:00:00,768FC,0.13,0.03,0.02,0.0
Sur,E0,00:00:00,768FD,0.11,0.03,0.02,0.0
Sur,E0,00:00:00,768FE,-0.10,0.02,0.01,0.0
Sur,E0,00:00:00,768FF,-0.09,0.02,0.01,0.0
Sur,E0,00:00:00,76900,-0.04,0.01,0.00,0.0
Sur,E0,00:00:00,76901,0.20,0.04,0.04,0.0
